21989,1990-02-22 00:00:00
21990,1991-02-20 00:00:00
21991,1992-02-20 00:00:00
21992,1993-02-05 00:00:00
21993,1994-02-24 00:00:00
21994,1995-02-23 00:00:00
21995,1996-02-22 00:00:00
21996,1997-02-20 00:00:00
21997,1998-02-19 00:00:00
21998,1999-03-11 00:00:00
21999,2000-02-24 00:00:00
22000,2001-02-22 00:00:00
22001,2002-02-21 00:00:00
22002,2003-02-20 00:00:00
22003,2004-02-19 00:00:00
22004,2005-02-24 00:00:00
22005,2006-02-23 00:00:00
22006,2007-02-22 00:00:00
22007,2008-02-21 00:00:00
22008,2009-02-19 00:00:00
22009,2010-02-18 00:00:00
22010,2011-02-24 00:00:00
22011,2012-03-15 00:00:00
22012,2013-02-21 00:00:00
22013,2014-02-20 00:00:00
22014,2015-02-19 00:00:00
22015,2016-02-18 00:00:00
22016,2017-02-23 00:00:00
22018,2019-02-07 00:00:00
22019,2020-02-06 00:00:00
22020,2021-03-25 00:00:00
22021,2022-02-10 00:00:00
22022,2023-02-09 00:00:00
